levelBackground,levelBackground,-720,-480,0,1,-100
floor,floor,-730,290,1,1,0
floor,floor,-650,290,1,1,0
floor,floor,-520,290,1,1,0
floor,floor,-390,290,1,1,0
floor,floor,-260,290,1,1,0
floor,floor,-130,290,1,1,0
floor,floor,0,290,1,1,0
floor,floor,130,290,1,1,0
player,player,-20,90,1,0,0
floor,floor,260,290,1,1,0
floor,floor,390,290,1,1,0
floor,floor,520,290,1,1,0
floor,floor,650,290,1,1,0
floor,floor,780,290,1,1,0
floor,floor,910,290,1,1,0
floor,floor,-520,400,1,1,0
floor,floor,-390,400,1,1,0
floor,floor,-260,400,1,1,0
floor,floor,-130,400,1,1,0
floor,floor,0,400,1,1,0
floor,floor,130,390,1,1,0
floor,floor,260,400,1,1,0
floor,floor,390,400,1,1,0
floor,floor,520,400,1,1,0
floor,floor,650,400,1,1,0
floor,floor,780,400,1,1,0
floor,floor,910,400,1,1,0
lollipop,lollipop,800,-130,1,1,0
lollipop,lollipop,-500,-130,1,1,0
