levelBackground,levelBackground,-720,-480,0,1,-100
rain,rain,900,-960,1,0,-10
rain,rain,300,-920,1,0,-10
rain,rain,1300,-880,1,0,-10
rain,rain,1900,-840,1,0,-10
rain,rain,1500,-800,1,0,-10
rain,rain,1700,-760,1,0,-10
rain,rain,900,-720,1,0,-10
rain,rain,1900,-680,1,0,-10
rain,rain,1900,-640,1,0,-10
rain,rain,900,-600,1,0,-10
rain,rain,1300,-560,1,0,-10
rain,rain,1900,-520,1,0,-10
rain,rain,100,-480,1,0,-10
rain,rain,1900,-440,1,0,-10
rain,rain,1100,-400,1,0,-10
rain,rain,1500,-360,1,0,-10
rain,rain,300,-320,1,0,-10
rain,rain,1900,-280,1,0,-10
rain,rain,300,-240,1,0,-10
rain,rain,300,-200,1,0,-10
rain,rain,500,-160,1,0,-10
rain,rain,100,-120,1,0,-10
rain,rain,900,-80,1,0,-10
rain,rain,1100,-40,1,0,-10
rain,rain,300,0,1,0,-10
rain,rain,1500,40,1,0,-10
rain,rain,900,80,1,0,-10
rain,rain,900,120,1,0,-10
rain,rain,1300,160,1,0,-10
rain,rain,1700,200,1,0,-10
rain,rain,100,240,1,0,-10
rain,rain,700,280,1,0,-10
rain,rain,1100,320,1,0,-10
rain,rain,300,360,1,0,-10
rain,rain,1900,400,1,0,-10
rain,rain,300,440,1,0,-10
rain,rain,500,480,1,0,-10
rain,rain,1300,520,1,0,-10
rain,rain,900,560,1,0,-10
rain,rain,1300,600,1,0,-10
rain,rain,1100,640,1,0,-10
rain,rain,1700,680,1,0,-10
rain,rain,1700,720,1,0,-10
rain,rain,1700,760,1,0,-10
rain,rain,100,800,1,0,-10
rain,rain,1900,840,1,0,-10
rain,rain,1700,880,1,0,-10
rain,rain,500,920,1,0,-10
rain,rain,1700,960,1,0,-10
rain,rain,100,1000,1,0,-10
player,player,-580,0,1,0,0
floor,floor,-710,230,1,1,0
floor,floor,-580,230,1,1,0
floor,floor,-450,230,1,1,0
floor,floor,-320,230,1,1,0
floor,floor,-190,230,1,1,0
floor,floor,-60,230,1,1,0
floor,floor,70,230,1,1,0
